
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server

  2026-03-19 09:01:51 /login ..................................... ~ 500.73ms
  2026-03-19 09:01:52 /login ..................................... ~ 500.61ms
  2026-03-19 09:01:52 /dashboard ................................... ~ 0.08ms
  2026-03-19 09:01:54 /hotspot/users ............................... ~ 0.20ms
  2026-03-19 09:04:12 /login ....................................... ~ 0.22ms
  2026-03-19 09:04:12 /login ....................................... ~ 0.31ms
  2026-03-19 09:04:13 /dashboard ................................. ~ 500.62ms
  2026-03-19 09:04:15 /hotspot/users ............................... ~ 0.23ms

   INFO  Environment modified. Restarting server...

   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server

  2026-03-19 09:11:25 /login ..................................... ~ 500.67ms
  2026-03-19 09:11:27 /login ..................................... ~ 500.63ms
  2026-03-19 09:11:27 /dashboard ................................... ~ 0.06ms
  2026-03-19 09:11:29 /hotspot/users ............................... ~ 0.27ms
  2026-03-19 09:13:49 /hotspot/users ............................... ~ 0.27ms
  2026-03-19 09:15:30 /login ..................................... ~ 500.56ms
  2026-03-19 09:15:31 /login ..................................... ~ 500.58ms
  2026-03-19 09:15:31 /login ....................................... ~ 0.06ms
  2026-03-19 09:15:33 /hotspot/users ............................. ~ 500.83ms
  2026-03-19 09:15:33 /login ....................................... ~ 0.12ms
  2026-03-19 09:17:22 /login ....................................... ~ 0.19ms
  2026-03-19 09:17:22 /login ....................................... ~ 0.24ms
  2026-03-19 09:17:22 /dashboard ................................... ~ 0.06ms
  2026-03-19 09:17:24 /hotspot/users ............................... ~ 0.21ms
